Template,Variation Rank (Most asked first),Name / Link,Difficulty,"Likes
(L)"
Other,114.0,Reduce Array Size to The Half,Medium,3359.0
Other,115.0,Fizz Buzz,Easy,3315.0
Other,116.0,Maximum 69 Number,Easy,3302.0
Other,117.0,Minimum Genetic Mutation,Medium,3291.0
Other,118.0,Number Complement,Easy,3201.0
Other,119.0,Maximum Performance of a Team,Hard,3199.0
Other,120.0,Knight Dialer,Medium,3194.0
Other,121.0,Valid Mountain Array,Easy,3122.0
Other,122.0,Count All Valid Pickup and Delivery Options,Hard,3089.0
Other,123.0,Check if the Sentence Is Pangram,Easy,3009.0
Other,124.0,Robot Room Cleaner,Hard,2889.0
Other,125.0,Delete Leaves With a Given Value,Medium,2886.0
Other,126.0,Numbers With Same Consecutive Differences,Medium,2877.0
Other,127.0,Minimum Rounds to Complete All Tasks,Medium,2848.0
Other,128.0,Broken Calculator,Medium,2835.0
Other,129.0,Maximum Width Ramp,Medium,2835.0
Other,130.0,Can I Win,Medium,2822.0
Other,131.0,Minimum Moves to Equal Array Elements,Medium,2809.0
Other,132.0,Unique Email Addresses,Easy,2803.0
Other,133.0,Sort Array By Parity II,Easy,2800.0
Other,134.0,Minimum Increment to Make Array Unique,Medium,2771.0
Other,135.0,Maximum Value at a Given Index in a Bounded Array,Medium,2711.0
Other,136.0,Extra Characters in a String,Medium,2624.0
Other,137.0,Minimum Cost to Merge Stones,Hard,2624.0
Other,138.0,DI String Match,Easy,2599.0
Other,139.0,Sort Integers by The Number of 1 Bits,Easy,2593.0
Other,140.0,Long Pressed Name,Easy,2581.0
Sliding Window,1.0,Longest Substring Without Repeating Characters,Medium,44387.0
Sliding Window,2.0,Maximum Subarray,Medium,37477.0
Sliding Window,3.0,Longest Palindromic Substring,Medium,32300.0
Sliding Window,4.0,Group Anagrams,Medium,21807.0
Sliding Window,5.0,Minimum Window Substring,Hard,19958.0
Sliding Window,6.0,Find All Anagrams in a String,Medium,13123.0
Sliding Window,7.0,Sum of Subarray Minimums,Medium,9125.0
Sliding Window,8.0,Subarray Sums Divisible by K,Medium,7805.0
Sliding Window,9.0,Maximum Sum Circular Subarray,Medium,7270.0
Sliding Window,10.0,Subarrays with K Different Integers,Hard,6869.0
Sliding Window,11.0,Repeated Substring Pattern,Easy,6829.0
Sliding Window,12.0,Binary Subarrays With Sum,Medium,4769.0
Sliding Window,13.0,Number of Substrings Containing All Three Characters,Medium,4383.0
Sliding Window,14.0,Sliding Window Median,Hard,3555.0
Sliding Window,15.0,Minimum Number of Steps to Make Two Strings Anagram,Medium,2815.0
Sliding Window,16.0,Substring with Concatenation of All Words,Hard,2581.0
Sliding Window,17.0,Find the Longest Substring Containing Vowels in Even Counts,Medium,2556.0
Stack,1.0,Valid Parentheses,Easy,27498.0
Stack,2.0,Generate Parentheses,Medium,23085.0
Stack,3.0,Longest Valid Parentheses,Hard,13218.0
Stack,4.0,Validate Stack Sequences,Medium,6095.0
Stack,5.0,Minimum Add to Make Parentheses Valid,Medium,4924.0
Two Pointers,1.0,Two Sum,Easy,67457.0
Two Pointers,2.0,Add Two Numbers,Medium,36203.0
Two Pointers,3.0,3Sum,Medium,35098.0
Two Pointers,4.0,Container With Most Water,Medium,33756.0
Two Pointers,5.0,Median of Two Sorted Arrays,Hard,31766.0
Two Pointers,6.0,Merge Two Sorted Lists,Easy,24692.0
Two Pointers,7.0,Combination Sum,Medium,20790.0
Two Pointers,8.0,Palindrome Number,Easy,15602.0
Two Pointers,9.0,Partition Equal Subset Sum,Medium,13745.0
Two Pointers,10.0,Minimum Path Sum,Medium,13584.0
Two Pointers,11.0,Swap Nodes in Pairs,Medium,13035.0
Two Pointers,12.0,4Sum,Medium,12742.0
Two Pointers,13.0,Target Sum,Medium,12292.0
Two Pointers,14.0,Combination Sum II,Medium,12143.0
Two Pointers,15.0,Path Sum III,Medium,11854.0
Two Pointers,16.0,3Sum Closest,Medium,11532.0
Two Pointers,17.0,Split Array Largest Sum,Hard,11209.0
Two Pointers,18.0,Range Sum of BST,Easy,7232.0
Two Pointers,19.0,Minimum Falling Path Sum,Medium,6962.0
Two Pointers,20.0,Reverse Pairs,Hard,6945.0
Two Pointers,21.0,Longest Palindrome,Easy,6331.0
Two Pointers,22.0,Add Two Numbers II,Medium,6149.0
Two Pointers,23.0,Divide Two Integers,Medium,6039.0
Two Pointers,24.0,Maximum XOR of Two Numbers in an Array,Medium,5897.0
Two Pointers,25.0,Sum of Left Leaves,Easy,5772.0
Two Pointers,26.0,Number of Operations to Make Network Connected,Medium,5559.0
Two Pointers,27.0,Minimum Insertion Steps to Make a String Palindrome,Hard,5552.0
Two Pointers,28.0,4Sum II,Medium,5067.0
Two Pointers,29.0,Deepest Leaves Sum,Medium,4823.0
Two Pointers,30.0,Successful Pairs of Spells and Potions,Medium,3189.0
Two Pointers,31.0,All Elements in Two Binary Search Trees,Medium,3182.0
Two Pointers,32.0,Maximum Sum BST in Binary Tree,Hard,2950.0
Two Pointers,33.0,Sum of Nodes with Even-Valued Grandparent,Medium,2823.0
Two Pointers,34.0,3Sum With Multiplicity,Medium,2680.0
Two Pointers,35.0,Sum of All Subset XOR Totals,Easy,2675.0
Two Pointers,36.0,Find the Difference of Two Arrays,Easy,2600.0
